nome_veiculo,cod_veiculo,cod_marca,ano_combustivel,ano_cod_combustivel,Ano,Combustivel,cod_combustivel
208 Active 1.2 Flex 12V 5p Mec.,7552,44,2016 Gasolina,2016-1,2016,Gasolina,1
208 Active 1.6 Flex 16V 5p Aut.,9200,44,32000 Gasolina,32000-1,32000,Gasolina,1
208 Active 1.6 Flex 16V 5p Aut.,9200,44,2024 Gasolina,2024-1,2024,Gasolina,1
208 Active 1.6 Flex 16V 5p Aut.,9200,44,2023 Gasolina,2023-1,2023,Gasolina,1
208 Active 1.6 Flex 16V 5p Aut.,9200,44,2022 Gasolina,2022-1,2022,Gasolina,1
208 Active 1.6 Flex 16V 5p Aut.,9200,44,2021 Gasolina,2021-1,2021,Gasolina,1
208 Active Pack 1.2 Flex 12V 5p Mec.,7553,44,2019 Gasolina,2019-1,2019,Gasolina,1
208 Active Pack 1.2 Flex 12V 5p Mec.,7553,44,2018 Gasolina,2018-1,2018,Gasolina,1
208 Active Pack 1.2 Flex 12V 5p Mec.,7553,44,2017 Gasolina,2017-1,2017,Gasolina,1
208 Active Pack 1.6 Flex 16V 5p Aut.,6843,44,2021 Gasolina,2021-1,2021,Gasolina,1
208 Active Pack 1.6 Flex 16V 5p Aut.,6843,44,2020 Gasolina,2020-1,2020,Gasolina,1
208 Active Pack 1.6 Flex 16V 5p Aut.,6843,44,2019 Gasolina,2019-1,2019,Gasolina,1
208 Active Pack 1.6 Flex 16V 5p Aut.,6843,44,2015 Gasolina,2015-1,2015,Gasolina,1
208 Active/Active Pack 1.5 Flex 8V 5p,6396,44,2016 Gasolina,2016-1,2016,Gasolina,1
208 Active/Active Pack 1.5 Flex 8V 5p,6396,44,2015 Gasolina,2015-1,2015,Gasolina,1
208 Active/Active Pack 1.5 Flex 8V 5p,6396,44,2014 Gasolina,2014-1,2014,Gasolina,1
208 Active/Active Pack 1.5 Flex 8V 5p,6396,44,2013 Gasolina,2013-1,2013,Gasolina,1
208 Allure 1.0 Turbo Flex 5p Aut.,11093,44,32000 Gasolina,32000-1,32000,Gasolina,1
208 Allure 1.0 Turbo Flex 5p Aut.,11093,44,2024 Gasolina,2024-1,2024,Gasolina,1
208 Allure 1.2 Flex 12V 5p Mec.,7554,44,2020 Gasolina,2020-1,2020,Gasolina,1
208 Allure 1.2 Flex 12V 5p Mec.,7554,44,2019 Gasolina,2019-1,2019,Gasolina,1
208 Allure 1.2 Flex 12V 5p Mec.,7554,44,2018 Gasolina,2018-1,2018,Gasolina,1
208 Allure 1.2 Flex 12V 5p Mec.,7554,44,2017 Gasolina,2017-1,2017,Gasolina,1
208 Allure 1.5 Flex 8V 5p,6397,44,2016 Gasolina,2016-1,2016,Gasolina,1
208 Allure 1.5 Flex 8V 5p,6397,44,2015 Gasolina,2015-1,2015,Gasolina,1
208 Allure 1.5 Flex 8V 5p,6397,44,2014 Gasolina,2014-1,2014,Gasolina,1
208 Allure 1.5 Flex 8V 5p,6397,44,2013 Gasolina,2013-1,2013,Gasolina,1
208 Allure 1.6 Flex 16V 5p Aut.,7267,44,32000 Gasolina,32000-1,32000,Gasolina,1
208 Allure 1.6 Flex 16V 5p Aut.,7267,44,2023 Gasolina,2023-1,2023,Gasolina,1
208 Allure 1.6 Flex 16V 5p Aut.,7267,44,2022 Gasolina,2022-1,2022,Gasolina,1
208 Allure 1.6 Flex 16V 5p Aut.,7267,44,2021 Gasolina,2021-1,2021,Gasolina,1
208 Allure 1.6 Flex 16V 5p Aut.,7267,44,2018 Gasolina,2018-1,2018,Gasolina,1
208 Allure 1.6 Flex 16V 5p Aut.,7267,44,2017 Gasolina,2017-1,2017,Gasolina,1
208 Allure 1.6 Flex 16V 5p Aut.,7267,44,2016 Gasolina,2016-1,2016,Gasolina,1
208 Allure inconcert 1.5 Flex 8V 5p Mec.,7516,44,2016 Gasolina,2016-1,2016,Gasolina,1
208 Allure inconcert 1.6 Flex 16V 5p Aut,7555,44,2016 Gasolina,2016-1,2016,Gasolina,1
208 Griffe 1.0 Turbo Flex 5p Aut.,11094,44,32000 Gasolina,32000-1,32000,Gasolina,1
208 Griffe 1.0 Turbo Flex 5p Aut.,11094,44,2024 Gasolina,2024-1,2024,Gasolina,1
208 Griffe 1.6 Flex 16V 5p Aut.,6398,44,32000 Gasolina,32000-1,32000,Gasolina,1
208 Griffe 1.6 Flex 16V 5p Aut.,6398,44,2023 Gasolina,2023-1,2023,Gasolina,1
208 Griffe 1.6 Flex 16V 5p Aut.,6398,44,2022 Gasolina,2022-1,2022,Gasolina,1
208 Griffe 1.6 Flex 16V 5p Aut.,6398,44,2021 Gasolina,2021-1,2021,Gasolina,1
208 Griffe 1.6 Flex 16V 5p Aut.,6398,44,2020 Gasolina,2020-1,2020,Gasolina,1
208 Griffe 1.6 Flex 16V 5p Aut.,6398,44,2019 Gasolina,2019-1,2019,Gasolina,1
208 Griffe 1.6 Flex 16V 5p Aut.,6398,44,2018 Gasolina,2018-1,2018,Gasolina,1
208 Griffe 1.6 Flex 16V 5p Aut.,6398,44,2017 Gasolina,2017-1,2017,Gasolina,1
208 Griffe 1.6 Flex 16V 5p Aut.,6398,44,2016 Gasolina,2016-1,2016,Gasolina,1
208 Griffe 1.6 Flex 16V 5p Aut.,6398,44,2015 Gasolina,2015-1,2015,Gasolina,1
208 Griffe 1.6 Flex 16V 5p Aut.,6398,44,2014 Gasolina,2014-1,2014,Gasolina,1
208 Griffe 1.6 Flex 16V 5p Aut.,6398,44,2013 Gasolina,2013-1,2013,Gasolina,1
208 Griffe 1.6 Flex 16V 5p Mec.,6399,44,2017 Gasolina,2017-1,2017,Gasolina,1
208 Griffe 1.6 Flex 16V 5p Mec.,6399,44,2016 Gasolina,2016-1,2016,Gasolina,1
208 Griffe 1.6 Flex 16V 5p Mec.,6399,44,2015 Gasolina,2015-1,2015,Gasolina,1
208 Griffe 1.6 Flex 16V 5p Mec.,6399,44,2014 Gasolina,2014-1,2014,Gasolina,1
208 Griffe 1.6 Flex 16V 5p Mec.,6399,44,2013 Gasolina,2013-1,2013,Gasolina,1
208 Griffe Bus. 1.6 Flex 5p Aut.,9540,44,2020 Gasolina,2020-1,2020,Gasolina,1
208 Griffe Bus. 1.6 Flex 5p Aut.,9540,44,2019 Gasolina,2019-1,2019,Gasolina,1
208 GT 1.6 THP Flex 16V 5p Mec.,7556,44,2020 Gasolina,2020-1,2020,Gasolina,1
208 GT 1.6 THP Flex 16V 5p Mec.,7556,44,2019 Gasolina,2019-1,2019,Gasolina,1
208 GT 1.6 THP Flex 16V 5p Mec.,7556,44,2018 Gasolina,2018-1,2018,Gasolina,1
208 GT 1.6 THP Flex 16V 5p Mec.,7556,44,2017 Gasolina,2017-1,2017,Gasolina,1
208 GT 1.6 THP Flex 16V 5p Mec.,7556,44,2016 Gasolina,2016-1,2016,Gasolina,1
208 Inconcert 1.6 Flex 16V 5p Aut.,8348,44,2019 Gasolina,2019-1,2019,Gasolina,1
208 Like 1.0 Flex 6V 5p Mec.,9852,44,32000 Gasolina,32000-1,32000,Gasolina,1
208 Like 1.0 Flex 6V 5p Mec.,9852,44,2024 Gasolina,2024-1,2024,Gasolina,1
208 Like 1.0 Flex 6V 5p Mec.,9852,44,2023 Gasolina,2023-1,2023,Gasolina,1
208 Like 1.6 Flex 16V 5p Mec.,9235,44,2022 Gasolina,2022-1,2022,Gasolina,1
208 Like 1.6 Flex 16V 5p Mec.,9235,44,2021 Gasolina,2021-1,2021,Gasolina,1
208 Like 1.6 Flex 16V 5p Mec.,9235,44,2020 Gasolina,2020-1,2020,Gasolina,1
208 Like Essencial 1.6 Flex 16V 5p Mec.,9642,44,2022 Gasolina,2022-1,2022,Gasolina,1
208 Like Essencial 1.6 Flex 16V 5p Mec.,9642,44,2021 Gasolina,2021-1,2021,Gasolina,1
208 Like Essencial 1.6 Flex 16V 5p Mec.,9642,44,2020 Gasolina,2020-1,2020,Gasolina,1
208 Premier 1.6 Flex 16V 5p,6448,44,2014 Gasolina,2014-1,2014,Gasolina,1
208 Roadtrip 1.6 Flex 16V 5p Aut.,10363,44,32000 Gasolina,32000-1,32000,Gasolina,1
208 Roadtrip 1.6 Flex 16V 5p Aut.,10363,44,2024 Gasolina,2024-1,2024,Gasolina,1
208 Roadtrip 1.6 Flex 16V 5p Aut.,10363,44,2023 Gasolina,2023-1,2023,Gasolina,1
208 Sport 1.6 Flex 16V 5p Mec.,7557,44,2018 Gasolina,2018-1,2018,Gasolina,1
208 Sport 1.6 Flex 16V 5p Mec.,7557,44,2017 Gasolina,2017-1,2017,Gasolina,1
208 Style 1.0 Flex 6V 5p Mec.,9853,44,32000 Gasolina,32000-1,32000,Gasolina,1
208 Style 1.0 Flex 6V 5p Mec.,9853,44,2024 Gasolina,2024-1,2024,Gasolina,1
208 Style 1.0 Flex 6V 5p Mec.,9853,44,2023 Gasolina,2023-1,2023,Gasolina,1
208 Style 1.0 Turbo Flex 5p Aut.,10800,44,32000 Gasolina,32000-1,32000,Gasolina,1
208 Style 1.0 Turbo Flex 5p Aut.,10800,44,2024 Gasolina,2024-1,2024,Gasolina,1
208 URBANTECH1.6 Flex 16V 5p Aut.,8061,44,2018 Gasolina,2018-1,2018,Gasolina,1
3008 Allure 1.6 Turbo 16V 5p Aut.,5427,44,2020 Gasolina,2020-1,2020,Gasolina,1
3008 Allure 1.6 Turbo 16V 5p Aut.,5427,44,2014 Gasolina,2014-1,2014,Gasolina,1
3008 Allure 1.6 Turbo 16V 5p Aut.,5427,44,2013 Gasolina,2013-1,2013,Gasolina,1
3008 Allure 1.6 Turbo 16V 5p Aut.,5427,44,2012 Gasolina,2012-1,2012,Gasolina,1
3008 Allure 1.6 Turbo 16V 5p Aut.,5427,44,2011 Gasolina,2011-1,2011,Gasolina,1
3008 Griffe 1.6 Turbo 16V 5p Aut.,5428,44,32000 Gasolina,32000-1,32000,Gasolina,1
3008 Griffe 1.6 Turbo 16V 5p Aut.,5428,44,2023 Gasolina,2023-1,2023,Gasolina,1
3008 Griffe 1.6 Turbo 16V 5p Aut.,5428,44,2022 Gasolina,2022-1,2022,Gasolina,1
3008 Griffe 1.6 Turbo 16V 5p Aut.,5428,44,2019 Gasolina,2019-1,2019,Gasolina,1
3008 Griffe 1.6 Turbo 16V 5p Aut.,5428,44,2018 Gasolina,2018-1,2018,Gasolina,1
3008 Griffe 1.6 Turbo 16V 5p Aut.,5428,44,2017 Gasolina,2017-1,2017,Gasolina,1
3008 Griffe 1.6 Turbo 16V 5p Aut.,5428,44,2016 Gasolina,2016-1,2016,Gasolina,1
3008 Griffe 1.6 Turbo 16V 5p Aut.,5428,44,2015 Gasolina,2015-1,2015,Gasolina,1
3008 Griffe 1.6 Turbo 16V 5p Aut.,5428,44,2014 Gasolina,2014-1,2014,Gasolina,1
3008 Griffe 1.6 Turbo 16V 5p Aut.,5428,44,2013 Gasolina,2013-1,2013,Gasolina,1
3008 Griffe 1.6 Turbo 16V 5p Aut.,5428,44,2012 Gasolina,2012-1,2012,Gasolina,1
3008 Griffe 1.6 Turbo 16V 5p Aut.,5428,44,2011 Gasolina,2011-1,2011,Gasolina,1
3008 Griffe Pack 1.6 Turbo 16V 5p Aut.,8243,44,2020 Gasolina,2020-1,2020,Gasolina,1
3008 Griffe Pack 1.6 Turbo 16V 5p Aut.,8243,44,2019 Gasolina,2019-1,2019,Gasolina,1
3008 Griffe Pack 1.6 Turbo 16V 5p Aut.,8243,44,2018 Gasolina,2018-1,2018,Gasolina,1
3008 Griffe Pack 1.6 Turbo 16V 5p Aut.,8243,44,2017 Gasolina,2017-1,2017,Gasolina,1
3008 GT Pack 1.6 Turbo 16V 5p Aut.,9542,44,32000 Gasolina,32000-1,32000,Gasolina,1
3008 GT Pack 1.6 Turbo 16V 5p Aut.,9542,44,2023 Gasolina,2023-1,2023,Gasolina,1
3008 GT Pack 1.6 Turbo 16V 5p Aut.,9542,44,2022 Gasolina,2022-1,2022,Gasolina,1
3008 Roland Garros 1.6 Turbo 16V 5p,6546,44,2014 Gasolina,2014-1,2014,Gasolina,1
306 Break Passion 1.8 16V,1875,44,2001 Gasolina,2001-1,2001,Gasolina,1
306 Break Passion 1.8 16V,1875,44,2000 Gasolina,2000-1,2000,Gasolina,1
306 Break Passion 1.8 16V,1875,44,1999 Gasolina,1999-1,1999,Gasolina,1
306 Break Passion 1.8 16V,1875,44,1998 Gasolina,1998-1,1998,Gasolina,1
306 Cabriolet 1.8/ Mi 16V,1876,44,1998 Gasolina,1998-1,1998,Gasolina,1
306 Cabriolet 1.8/ Mi 16V,1876,44,1995 Gasolina,1995-1,1995,Gasolina,1
306 Cabriolet 1.8/ Mi 16V,1876,44,1994 Gasolina,1994-1,1994,Gasolina,1
306 Cabriolet 2.0,1877,44,2000 Gasolina,2000-1,2000,Gasolina,1
306 Cabriolet 2.0,1877,44,1999 Gasolina,1999-1,1999,Gasolina,1
306 Cabriolet 2.0,1877,44,1998 Gasolina,1998-1,1998,Gasolina,1
306 Cabriolet 2.0,1877,44,1995 Gasolina,1995-1,1995,Gasolina,1
306 Cabriolet 2.0,1877,44,1994 Gasolina,1994-1,1994,Gasolina,1
306 GTi 2.0 16V,1878,44,2000 Gasolina,2000-1,2000,Gasolina,1
306 GTi 2.0 16V,1878,44,1999 Gasolina,1999-1,1999,Gasolina,1
306 GTi 2.0 16V,1878,44,1998 Gasolina,1998-1,1998,Gasolina,1
306 Passion 1.8 16V,1879,44,2001 Gasolina,2001-1,2001,Gasolina,1
306 Passion 1.8 16V,1879,44,2000 Gasolina,2000-1,2000,Gasolina,1
306 Passion 1.8 16V,1879,44,1999 Gasolina,1999-1,1999,Gasolina,1
306 Passion 1.8 16V,1879,44,1998 Gasolina,1998-1,1998,Gasolina,1
306 Passion Sedan 1.8 16V,1880,44,2001 Gasolina,2001-1,2001,Gasolina,1
306 Passion Sedan 1.8 16V,1880,44,2000 Gasolina,2000-1,2000,Gasolina,1
306 Passion Sedan 1.8 16V,1880,44,1999 Gasolina,1999-1,1999,Gasolina,1
306 Passion Sedan 1.8 16V,1880,44,1998 Gasolina,1998-1,1998,Gasolina,1
306 Rallye 1.8 16V,1881,44,2001 Gasolina,2001-1,2001,Gasolina,1
306 Rallye 1.8 16V,1881,44,2000 Gasolina,2000-1,2000,Gasolina,1
306 Rallye 1.8 16V,1881,44,1999 Gasolina,1999-1,1999,Gasolina,1
306 Rallye 1.8 16V,1881,44,1998 Gasolina,1998-1,1998,Gasolina,1
306 S16 2.0 3p,1882,44,1995 Gasolina,1995-1,1995,Gasolina,1
306 S16 2.0 3p,1882,44,1994 Gasolina,1994-1,1994,Gasolina,1
306 Selection Hatch 1.8 16V,1883,44,2000 Gasolina,2000-1,2000,Gasolina,1
306 Selection Hatch 1.8 16V,1883,44,1999 Gasolina,1999-1,1999,Gasolina,1
306 Selection Hatch 1.8 16V,1883,44,1998 Gasolina,1998-1,1998,Gasolina,1
306 Selection Sedan 1.8 16V,1884,44,2000 Gasolina,2000-1,2000,Gasolina,1
306 Selection Sedan 1.8 16V,1884,44,1999 Gasolina,1999-1,1999,Gasolina,1
306 Selection Sedan 1.8 16V,1884,44,1998 Gasolina,1998-1,1998,Gasolina,1
306 Si/ SL 1.8,1885,44,1998 Gasolina,1998-1,1998,Gasolina,1
306 Si/ SL 1.8,1885,44,1997 Gasolina,1997-1,1997,Gasolina,1
306 Soleil 1.8 16V  4p,1886,44,2001 Gasolina,2001-1,2001,Gasolina,1
306 Soleil 1.8 16V  4p,1886,44,2000 Gasolina,2000-1,2000,Gasolina,1
306 Soleil 1.8 16V  4p,1886,44,1999 Gasolina,1999-1,1999,Gasolina,1
306 Soleil 1.8 16V 2p,1887,44,2001 Gasolina,2001-1,2001,Gasolina,1
306 Soleil 1.8 16V 2p,1887,44,2000 Gasolina,2000-1,2000,Gasolina,1
306 Soleil 1.8 16V 2p,1887,44,1999 Gasolina,1999-1,1999,Gasolina,1
306 Soleil Break 1.8 16V 5p,1888,44,2001 Gasolina,2001-1,2001,Gasolina,1
306 Soleil Break 1.8 16V 5p,1888,44,2000 Gasolina,2000-1,2000,Gasolina,1
306 Soleil Hatch 1.8 16V 5p,1889,44,2001 Gasolina,2001-1,2001,Gasolina,1
306 Soleil Hatch 1.8 16V 5p,1889,44,2000 Gasolina,2000-1,2000,Gasolina,1
306 SR,1890,44,1997 Gasolina,1997-1,1997,Gasolina,1
306 XN 1.8,1891,44,1998 Gasolina,1998-1,1998,Gasolina,1
306 XN 1.8,1891,44,1997 Gasolina,1997-1,1997,Gasolina,1
306 XR 1.8 / XR Break 1.8 16V,1892,44,1998 Gasolina,1998-1,1998,Gasolina,1
306 XR 1.8 / XR Break 1.8 16V,1892,44,1997 Gasolina,1997-1,1997,Gasolina,1
306 XR 1.8 / XR Break 1.8 16V,1892,44,1996 Gasolina,1996-1,1996,Gasolina,1
306 XS 1.6 3p/ ST 1.8i 4p,1893,44,1997 Gasolina,1997-1,1997,Gasolina,1
306 XS 1.6 3p/ ST 1.8i 4p,1893,44,1996 Gasolina,1996-1,1996,Gasolina,1
306 XS 1.6 3p/ ST 1.8i 4p,1893,44,1995 Gasolina,1995-1,1995,Gasolina,1
306 XSi 2.0 3/5p,1894,44,1996 Gasolina,1996-1,1996,Gasolina,1
306 XSi 2.0 3/5p,1894,44,1995 Gasolina,1995-1,1995,Gasolina,1
306 XSi 2.0 3/5p,1894,44,1994 Gasolina,1994-1,1994,Gasolina,1
307 CC 2.0 16V 138cv 2p Mec.,1896,44,2005 Gasolina,2005-1,2005,Gasolina,1
307 CC 2.0 16V 2p Aut.,1895,44,2008 Gasolina,2008-1,2008,Gasolina,1
307 CC 2.0 16V 2p Aut.,1895,44,2007 Gasolina,2007-1,2007,Gasolina,1
307 CC 2.0 16V 2p Aut.,1895,44,2006 Gasolina,2006-1,2006,Gasolina,1
307 CC 2.0 16V 2p Aut.,1895,44,2005 Gasolina,2005-1,2005,Gasolina,1
