nome_veiculo,cod_veiculo,cod_marca,cod_veiculo_especifico
156 2.5 V6 24V 190cv 4p Aut.,12,3,"[{'Label': '2003 Gasolina', 'Value': '2003-1'}, {'Label': '1999 Gasolina', 'Value': '1999-1'}]"
156 Sport Wagon 2.0 16V,13,3,"[{'Label': '2002 Gasolina', 'Value': '2002-1'}, {'Label': '2001 Gasolina', 'Value': '2001-1'}]"
156 Sport Wagon 2.5 V6 24V 4p Aut.,14,3,"[{'Label': '2004 Gasolina', 'Value': '2004-1'}, {'Label': '2003 Gasolina', 'Value': '2003-1'}]"
156 TS/Sport/Elegant 2.0 16V,15,3,"[{'Label': '2002 Gasolina', 'Value': '2002-1'}, {'Label': '2001 Gasolina', 'Value': '2001-1'}, {'Label': '2000 Gasolina', 'Value': '2000-1'}, {'Label': '1999 Gasolina', 'Value': '1999-1'}]"
164 3.0 V6,16,3,"[{'Label': '1996 Gasolina', 'Value': '1996-1'}, {'Label': '1995 Gasolina', 'Value': '1995-1'}, {'Label': '1994 Gasolina', 'Value': '1994-1'}, {'Label': '1993 Gasolina', 'Value': '1993-1'}, {'Label': '1992 Gasolina', 'Value': '1992-1'}, {'Label': '1991 Gasolina', 'Value': '1991-1'}]"
164 Super V6 24V,17,3,"[{'Label': '1996 Gasolina', 'Value': '1996-1'}, {'Label': '1995 Gasolina', 'Value': '1995-1'}]"
166 3.0 V6 24V,18,3,"[{'Label': '2003 Gasolina', 'Value': '2003-1'}, {'Label': '2002 Gasolina', 'Value': '2002-1'}, {'Label': '2001 Gasolina', 'Value': '2001-1'}, {'Label': '2000 Gasolina', 'Value': '2000-1'}, {'Label': '1999 Gasolina', 'Value': '1999-1'}]"
2300 TI/TI-4,19,3,"[{'Label': '1986 Gasolina', 'Value': '1986-1'}, {'Label': '1985 Gasolina', 'Value': '1985-1'}]"
Spider 2.0/3.0,20,3,"[{'Label': '1997 Gasolina', 'Value': '1997-1'}, {'Label': '1996 Gasolina', 'Value': '1996-1'}, {'Label': '1995 Gasolina', 'Value': '1995-1'}, {'Label': '1993 Gasolina', 'Value': '1993-1'}, {'Label': '1992 Gasolina', 'Value': '1992-1'}, {'Label': '1991 Gasolina', 'Value': '1991-1'}]"
RS Q3 2.5 TFSI Quattro S-tronic 5p,6865,6,"[{'Label': '2022 Gasolina', 'Value': '2022-1'}, {'Label': '2021 Gasolina', 'Value': '2021-1'}, {'Label': '2018 Gasolina', 'Value': '2018-1'}, {'Label': '2017 Gasolina', 'Value': '2017-1'}, {'Label': '2016 Gasolina', 'Value': '2016-1'}, {'Label': '2015 Gasolina', 'Value': '2015-1'}, {'Label': '2014 Gasolina', 'Value': '2014-1'}]"
RS Q3 Sportback 2.5 TFSI Quattro S-tron.,9292,6,"[{'Label': '2022 Gasolina', 'Value': '2022-1'}, {'Label': '2021 Gasolina', 'Value': '2021-1'}]"
RS Q8 4.0 Bi-TB V8 FSI Quattro Tiptronic,9224,6,"[{'Label': '32000 Gasolina', 'Value': '32000-1'}, {'Label': '2023 Gasolina', 'Value': '2023-1'}, {'Label': '2022 Gasolina', 'Value': '2022-1'}, {'Label': '2021 Gasolina', 'Value': '2021-1'}]"
RS3 Sedan 2.5 TFSI Quattro S-tronic,8175,6,"[{'Label': '2018 Gasolina', 'Value': '2018-1'}, {'Label': '2017 Gasolina', 'Value': '2017-1'}]"
